vaultIdx,tokenName,owner,cdr,collateral,debt
0,WETH,0xc96ea79A32Ec5B74A25b15Bb331a03BcFF424d6D,Infinity,27817204839751630,0
1,WETH,0xe00EaA2787a8830A485153b7Bf508Bc781E4A220,5143694444444445000,2777777777777778,1
2,WETH,0x49895bF904a10435933fE38f76BCAa6AAF1AC106,0,0,0
3,WETH,0x07d6Bfe107560aa0233dec719502736B6C860723,Infinity,5555555555555.556,0
4,WETH,0xAd95A5fE898679B927C266eB2eDfAbC7fe268C27,0,0,0
5,WETH,0x78965cecb4696165B374FeA43Bac3029006Dec2c,0,0,0
6,WETH,0x721675cc9129bF75935DE33Fd749f49f7e45b046,365202305555555600,19722222222222.223,0.1
7,WETH,0xd211B9D5DA830e29ca1Ec9BE1D1723b91Fa81e3F,102873888888888880,55555555555555550,1000
8,WETH,0xB1328907b14700379905D6d733Fb0B31e46f3d62,102620526702347470,5555555555555556,100.2468923076923
9,WETH,0x0f504b06Bf14f9584bAF9DCBb3CAca645b136bA5,102473867887386370,3873767100018386,70
10,WETH,0x25612e8bd7683De22dA45D717D0493B0e96424b4,113309206210519920,1261090000567366700,20609.07727490376
11,WETH,0x0a3043F9d2b1c6cCfc492EB59Af5156F378c57BD,101612623389179380,16647319854311114,303.37118131236224
12,WETH,0x657d54c9aC70b83A6D746adDF6C6Ad43E470Fa0A,114353318688438370,1436617073945764.8,23.26322458192507
13,WETH,0x39e1C6A9517EB4709B4DB48f49C7d8321DA1AF5A,102873888888888900,55555555555555.555,1
14,WETH,0x5fFE252EF723b2B5938F9DA6EeB309C15e965baA,365202305555555600,19722222222222.223,0.1
15,WETH,0xf652F5Fe6a9BBD134ee069bE313bDb7B37B33dB7,75226769586021170,1015628217748013.5,25
16,WETH,0x199D53A6982A6281D0E2169B1c6473E0FB00D741,365202305555555600,19722222222222.223,0.1
17,WETH,0x9Ce0Cb34Df508E3F3B5bAB1682803BefbE333c83,366254705438888800,19779055555555.555,0.1
18,WETH,0x17590D2dBB327292D749e4Eb06dba4AbAfd43B47,361786892444444350,19537777777777.777,0.1
19,WETH,0xFB96E0c2DCaFf9D18CB876c26019040c50c242d3,361190223888888800,19505555555555.555,0.1
20,WETH,0x36b9a3040A9Ceb1861119206578cF32918213dbF,359955737222222200,19438888888888.89,0.1
21,WETH,0x2984331f3C151063Cfa4BC47Af03D6333d5cF8E6,359184183055555500,19397222222222.223,0.1
22,WETH,0xa2E05aF8D9271bb0AcEC0909DE1173005CBB05cb,358289180222222200,19348888888888.89,0.1
23,WETH,0x3520891D5BB5D05e959EB1C89797382a9CB2bAaA,358001133333333300,19333333333333.332,0.1
24,WETH,0x260EDfEa92898A3C918A80212e937e6033F8489E,123256732503998300,166407538496430800,2500
25,WETH,0xc9c026d92314aaA032cf493DB1058B143DBf9AFF,152405761316872450,22222222222222224,270
26,WETH,0x6251D7293E3C012437a6cC9fA913de1E98348ecc,85728240740740750,2777777777777778,60
27,WETH,0xF6Ce8F4D9aF917823FEe582298810e4F0d947e0E,0,0,0
28,WETH,0x8dc41F0BDFe880767002e664158152c868a187D9,0,0,0
29,WETH,0x940459a510b2f4ad950795D4A47941391628bf0d,0,0,0
30,WETH,0x44E434b0Eb83534b697F9c77eF11fB981B637def,0,0,0
31,WETH,0xDdcDA6F7592D23c56b4058F65E6e98f02cD6D2a7,77057579494476160,5201728889638078,125
32,WETH,0xbe4736749eF1E1C1e686Bb161FB17CDd4aEa563E,0,0,0
33,WETH,0xD4E8A869B1f41fc899551d59De055C6A2FEeA415,0,0,0
34,WETH,0xE1697Fd478d4F0B8c5c1d51A324B7ad8b6220041,0,0,0
35,WETH,0x373D41B30a9255e67934329539076c5A8354a2Ab,91186426414566930,555555555555555.56,11.28171076923077
36,WETH,0x041cE53eC91c31Abe748169Be86f4268dE4C7bea,0,0,0
37,WETH,0x317EA3F40890987E177F82a7A9962247e2584AC5,0,0,0
38,WETH,0xC6e87ADF4133Cc61CacDA134e79c243De9dB3E69,0,0,0
39,WETH,0xA6882a53195afd853289d2E6C88E480291fa6e7b,0,0,0
40,WETH,0xe25C0E141b98A5a449fbd70CFDA45F6088486C74,0,0,0
41,WETH,0xd049c7556a2d20d5Ea3C9c7Cba7010a83B0C2D48,0,0,0
42,WETH,0x0788305E71DB160dAc550c7C131f231c94dD4c06,88543427949653070,2777777777777778,58.092334615384615
43,WETH,0xD131F1BcDd547e067Af447dD3C36C99d6be9FdEB,0,0,0
44,WETH,0x5d81AE293cBebdCD0fe57F62068bB763E56581AC,0,0,0
45,WETH,0x73Bb129019992794002AF6F53a86D671A4887901,103874550282732980,1749660975098497500,31190.50536055806
46,WETH,0xb1551981C6d68C28f572a986D4f8bf05252756C3,0,0,0
47,WETH,0x81aFcF6Dd79897cBa488471eCEc2f41BF3f7CA9B,104821785695621010,9623273138230504,170
48,WETH,0x6fCe63859a859a0f30eD09B12F5010d790618ca4,0,0,0
49,WETH,0x3feb9298170A751e4E6c81195912fB6a5784139c,171456481481481500,11111111111111112,120
50,WETH,0x480C44abB0B8B4f1D3bBF7B8eB4EaC47708a5ec3,108938428901042060,47222222222222220,802.6809862935256
51,WETH,0x796F31Aa3118eb362559960f63157Ca48D2b275f,0,0,0
52,WETH,0xCD1420E9D1b628Dd11cB143E1e63AAF1414F0c10,0,0,0
53,WETH,0xCF7E9a0d1C8542E36D0bef83fb37ad1B5175Ec01,0,0,0
54,WETH,0x435b7D470767Cb121F37dD296B2AC7913fDF5427,0,0,0
55,WETH,0x435b7D470767Cb121F37dD296B2AC7913fDF5427,0,0,0
56,WETH,0x6333Fb66B14e76b579d4A7F87Dadb69B5Ad8404d,114462321234600020,4861111111111111,78.64129593640276
57,WETH,0x061D529363a13bBfeDA3de3fED4b213F38D0b48e,0,0,0
58,WETH,0x56E7d2A9D752BbC63B47215eA3608eb85a5968D7,96394777649862130,135347149451841600,2599.9995348795446
